SampleID	Name	S_Name	Categories	Treatment_agg	Clamp	Treatment	Extraction	Type	Plant	Grass_Family	sequencing
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical
42-BC-bact_clamp	BC	BC	BC	BC	clamp	blank	blank	blank	blank	blank	blank
44-NC-bact_clamp	NC	NC	NC	NC	clamp	blank	blank	blank	blank	blank	blank
43-PC-bact_clamp	PC	PC	PC	PC	clamp	blank	blank	blank	blank	blank	blank
41-WC-bact_clamp	WC	WC	WC	WC	clamp	blank	blank	blank	blank	blank	blank
20-BC-bact	BC	BC	BC	BC	no_clamp	blank	blank	blank	blank	blank	blank
22-NC-bact	NC	NC	NC	NC	no_clamp	blank	blank	blank	blank	blank	blank
21-PC_bact	PC	PC	PC	PC	no_clamp	blank	blank	blank	blank	blank	blank
19-WC-bact	WC	WC	WC	WC	no_clamp	blank	blank	blank	blank	blank	blank
89-CLAMPB1A	CLAMPB1A	B5_Clamp_Washed	B_Clamp_Washed	Clamp_Washed	clamp	Washed	freeze_dry	plant	Buttercup	forbe	NA
90-CLAMPB2A	CLAMPB2A	B6_Clamp_Washed	B_Clamp_Washed	Clamp_Washed	clamp	Washed	freeze_dry	plant	Buttercup	forbe	NA
91-CLAMPB3A	CLAMPB3A	B7_Clamp_Washed	B_Clamp_Washed	Clamp_Washed	clamp	Washed	freeze_dry	plant	Buttercup	forbe	NA
83-CLAMPH1A	CLAMPH1A	H7_Clamp_Washed	H_Clamp_Washed	Clamp_Washed	clamp	Washed	freeze_dry	plant	Holcus	grass	NA
84-CLAMPH2A	CLAMPH2A	H8_Clamp_Washed	H_Clamp_Washed	Clamp_Washed	clamp	Washed	freeze_dry	plant	Holcus	grass	NA
85-CLAMPH3A	CLAMPH3A	H9_Clamp_Washed	H_Clamp_Washed	Clamp_Washed	clamp	Washed	freeze_dry	plant	Holcus	grass	NA
86-CLAMPC1A	CLAMPC1A	W6_Clamp_Washed	W_Clamp_Washed	Clamp_Washed	clamp	Washed	freeze_dry	plant	White clover	legume	NA
87-CLAMPC2A	CLAMPC2A	W7_Clamp_Washed	W_Clamp_Washed	Clamp_Washed	clamp	Washed	freeze_dry	plant	White clover	legume	NA
88-CLAMPC3A	CLAMPC3A	W8_Clamp_Washed	W_Clamp_Washed	Clamp_Washed	clamp	Washed	freeze_dry	plant	White clover	legume	NA
65-B1A	B1A	B17_Noclamp_Washed	B_Noclamp_Washed	Noclamp_Washed	no_clamp	Washed	freeze_dry	plant	Buttercup	forbe	NA
66-B2A	B2A	B18_Noclamp_Washed	B_Noclamp_Washed	Noclamp_Washed	no_clamp	Washed	freeze_dry	plant	Buttercup	forbe	NA
67-B3A	B3A	B19_Noclamp_Washed	B_Noclamp_Washed	Noclamp_Washed	no_clamp	Washed	freeze_dry	plant	Buttercup	forbe	NA
59-H1A	H1A	H20_Noclamp_Washed	H_Noclamp_Washed	Noclamp_Washed	no_clamp	Washed	freeze_dry	plant	Holcus	grass	NA
60-H3A	H3A	H21_Noclamp_Washed	H_Noclamp_Washed	Noclamp_Washed	no_clamp	Washed	freeze_dry	plant	Holcus	grass	NA
64-H2A	H2A	H22_Noclamp_Washed	H_Noclamp_Washed	Noclamp_Washed	no_clamp	Washed	freeze_dry	plant	Holcus	legume	NA
61-C1A	C1A	W15_Noclamp_Washed	W_Noclamp_Washed	Noclamp_Washed	no_clamp	Washed	freeze_dry	plant	White clover	grass	NA
62-C2A	C2A	W16_Noclamp_Washed	W_Noclamp_Washed	Noclamp_Washed	no_clamp	Washed	freeze_dry	plant	White clover	legume	NA
63-C3A	C3A	W17_Noclamp_Washed	W_Noclamp_Washed	Noclamp_Washed	no_clamp	Washed	freeze_dry	plant	White clover	legume	NA
93-NEGATIVE	NEGATIVE	NEGATIVE	NEGATIVE	NEGATIVE	NEGATIVE	NEGATIVE	NEGATIVE	NEGATIVE	NEGATIVE	NEGATIVE	NEGATIVE
94-NEGATIVE	NEGATIVE	NEGATIVE	NEGATIVE	NEGATIVE	NEGATIVE	NEGATIVE	NEGATIVE	NEGATIVE	NEGATIVE	NEGATIVE	NEGATIVE
CGR_NEG	NEGATIVE	NEGATIVE	NEGATIVE	NEGATIVE	NEGATIVE	NEGATIVE	NEGATIVE	NEGATIVE	NEGATIVE	NEGATIVE	NEGATIVE
74-CLAMPB1	CLAMPB1	B1_Clamp_Optimized_Sterilized	B_Clamp_Optimized_Sterilized	Clamp_Optimized_Sterilized	clamp	Sterilized	freeze_dry	plant	Buttercup	forbe	Optimized
75-CLAMPB2	CLAMPB2	B2_Clamp_Optimized_Sterilized	B_Clamp_Optimized_Sterilized	Clamp_Optimized_Sterilized	clamp	Sterilized	freeze_dry	plant	Buttercup	forbe	Optimized
76-CLAMPB3	CLAMPB3	B3_Clamp_Optimized_Sterilized	B_Clamp_Optimized_Sterilized	Clamp_Optimized_Sterilized	clamp	Sterilized	freeze_dry	plant	Buttercup	forbe	Optimized
82-CLAMP5	CLAMP5	B4_Clamp_Optimized_Sterilized	B_Clamp_Optimized_Sterilized	Clamp_Optimized_Sterilized	clamp	Sterilized	freeze_dry	plant	Buttercup	forbe	Optimized
78-CLAMP18RW	CLAMP18RW	H1_Clamp_Optimized_Sterilized	H_Clamp_Optimized_Sterilized	Clamp_Optimized_Sterilized	clamp	Sterilized	freeze_dry	plant	Holcus	grass	Optimized
68-CLAMPH1	CLAMPH1	H2_Clamp_Optimized_Sterilized	H_Clamp_Optimized_Sterilized	Clamp_Optimized_Sterilized	clamp	Sterilized	freeze_dry	plant	Holcus	grass	Optimized
69-CLAMPH2	CLAMPH2	H3_Clamp_Optimized_Sterilized	H_Clamp_Optimized_Sterilized	Clamp_Optimized_Sterilized	clamp	Sterilized	freeze_dry	plant	Holcus	grass	Optimized
70-CLAMPH3	CLAMPH3	H4_Clamp_Optimized_Sterilized	H_Clamp_Optimized_Sterilized	Clamp_Optimized_Sterilized	clamp	Sterilized	freeze_dry	plant	Holcus	grass	Optimized
81-CLAMP1	CLAMP1	H5_Clamp_Optimized_Sterilized	H_Clamp_Optimized_Sterilized	Clamp_Optimized_Sterilized	clamp	Sterilized	freeze_dry	plant	Holcus	grass	Optimized
77-CLAMP127RW	CLAMP127RW	H6_Clamp_Optimized_Sterilized	H_Clamp_Optimized_Sterilized	Clamp_Optimized_Sterilized	clamp	Sterilized	freeze_dry	plant	Holcus	legume	Optimized
79-CLAMP24RW	CLAMP24RW	W1_Clamp_Optimized_Sterilized	W_Clamp_Optimized_Sterilized	Clamp_Optimized_Sterilized	clamp	Sterilized	freeze_dry	plant	White clover	forbe	Optimized
71-CLAMPC1	CLAMPC1	W2_Clamp_Optimized_Sterilized	W_Clamp_Optimized_Sterilized	Clamp_Optimized_Sterilized	clamp	Sterilized	freeze_dry	plant	White clover	legume	Optimized
72-CLAMPC2	CLAMPC2	W3_Clamp_Optimized_Sterilized	W_Clamp_Optimized_Sterilized	Clamp_Optimized_Sterilized	clamp	Sterilized	freeze_dry	plant	White clover	legume	Optimized
73-CLAMPC3	CLAMPC3	W4_Clamp_Optimized_Sterilized	W_Clamp_Optimized_Sterilized	Clamp_Optimized_Sterilized	clamp	Sterilized	freeze_dry	plant	White clover	legume	Optimized
80-CLAMP4	CLAMP4	W5_Clamp_Optimized_Sterilized	W_Clamp_Optimized_Sterilized	Clamp_Optimized_Sterilized	clamp	Sterilized	freeze_dry	plant	White clover	legume	Optimized
